"Easting","Northing","ICS_max","Date"
230500,581000,0,"1995-03-01"
230500,581500,0,"1995-03-01"
230500,582000,0,"1995-03-01"
230500,582500,0,"1995-03-01"
230500,583000,0,"1995-03-01"
230500,583500,0,"1995-03-01"
230500,584000,0,"1995-03-01"
230500,584500,0,"1995-03-01"
230500,585000,0,"1995-03-01"
230500,585500,0,"1995-03-01"
230500,586000,0,"1995-03-01"
230500,586500,0,"1995-03-01"
230500,587000,0,"1995-03-01"
230500,587500,0.0126374083639877,"1995-03-01"
230500,588000,0.0142758894342405,"1995-03-01"
230500,588500,0.0194067381922216,"1995-03-01"
230500,596000,0,"1995-03-01"
230500,596500,0,"1995-03-01"
230500,597000,0,"1995-03-01"
230500,597500,0,"1995-03-01"
230500,598000,0,"1995-03-01"
230500,598500,0,"1995-03-01"
230500,599000,0.0346482288670942,"1995-03-01"
230500,599500,0.035376609746163,"1995-03-01"
230500,6e+05,0.0357845025727633,"1995-03-01"
230500,600500,0,"1995-03-01"
230500,601000,0,"1995-03-01"
230500,606500,0.0441129749946758,"1995-03-01"
230500,607000,0.0471000763309604,"1995-03-01"
230500,607500,0.047620103241418,"1995-03-01"
230500,608000,0.0432773888775454,"1995-03-01"
230500,608500,0.0344029252519663,"1995-03-01"
230500,609000,0.027182290022138,"1995-03-01"
230500,609500,0.0257778245705469,"1995-03-01"
230500,610000,0.0231048042575278,"1995-03-01"
230500,610500,0.0191767188044549,"1995-03-01"
230500,611000,0.0097417894055208,"1995-03-01"
230500,611500,0.000719934596320326,"1995-03-01"
230500,612000,0.000742884957367743,"1995-03-01"
230500,612500,0.000664097006190875,"1995-03-01"
230500,613000,0,"1995-03-01"
230500,613500,0,"1995-03-01"
230500,614000,0,"1995-03-01"
230500,614500,0,"1995-03-01"
230500,615000,0,"1995-03-01"
230500,615500,0,"1995-03-01"
231000,572000,0,"1995-03-01"
231000,572500,0,"1995-03-01"
231000,573000,0,"1995-03-01"
231000,573500,0,"1995-03-01"
231000,574000,0,"1995-03-01"
231000,574500,0,"1995-03-01"
231000,575000,0,"1995-03-01"
231000,575500,0,"1995-03-01"
231000,576000,0,"1995-03-01"
231000,576500,0,"1995-03-01"
231000,577000,0,"1995-03-01"
231000,577500,0,"1995-03-01"
231000,578000,0,"1995-03-01"
231000,578500,0,"1995-03-01"
231000,579000,0,"1995-03-01"
231000,579500,0,"1995-03-01"
231000,580000,0,"1995-03-01"
231000,580500,0,"1995-03-01"
231000,581000,0,"1995-03-01"
231000,581500,0,"1995-03-01"
231000,582000,0,"1995-03-01"
231000,582500,0,"1995-03-01"
231000,583000,0,"1995-03-01"
231000,583500,0,"1995-03-01"
231000,584000,0,"1995-03-01"
231000,584500,0,"1995-03-01"
231000,585000,0,"1995-03-01"
231000,585500,0,"1995-03-01"
231000,586000,0,"1995-03-01"
231000,586500,0,"1995-03-01"
231000,587000,0,"1995-03-01"
231000,587500,0.0162007850053914,"1995-03-01"
231000,588000,0.0181383959103149,"1995-03-01"
231000,588500,0.0262116810428486,"1995-03-01"
231000,589000,0,"1995-03-01"
231000,595500,0,"1995-03-01"
231000,596000,0,"1995-03-01"
231000,596500,0,"1995-03-01"
231000,597000,0,"1995-03-01"
231000,597500,0,"1995-03-01"
231000,598000,0,"1995-03-01"
231000,598500,0,"1995-03-01"
231000,599000,0.0424433045965462,"1995-03-01"
231000,599500,0.0429119146888461,"1995-03-01"
231000,6e+05,0.0436298597309689,"1995-03-01"
231000,600500,0.044295807390225,"1995-03-01"
231000,606000,0.0471154954966024,"1995-03-01"
231000,606500,0.0478505388905246,"1995-03-01"
231000,607000,0.0482453682971651,"1995-03-01"
231000,607500,0.0499292973140204,"1995-03-01"
231000,608000,0.0457959414459632,"1995-03-01"
231000,608500,0.0364026172480401,"1995-03-01"
231000,609000,0.0286053419399013,"1995-03-01"
231000,609500,0.0272894410756364,"1995-03-01"
231000,610000,0.0252952515672423,"1995-03-01"
231000,610500,0.0209744366188205,"1995-03-01"
231000,611000,0.010785758037384,"1995-03-01"
231000,611500,0.000761390951235207,"1995-03-01"
231000,612000,0.000763463252230317,"1995-03-01"
231000,612500,0.000689293020748305,"1995-03-01"
231000,613000,0,"1995-03-01"
231000,613500,0,"1995-03-01"
231000,614000,0,"1995-03-01"
231000,614500,0,"1995-03-01"
231000,615000,0,"1995-03-01"
231000,615500,0,"1995-03-01"
