"","X","Datetime","Easting","Northing","Depth","Magnitude","Date","V","Year"
"208",371,"23/11/2004 22:13:10",250929,570886,3,0.313374,"2004-11-23",5.20911946068084,2004
"209",372,"24/11/2004 18:18:58",246102,590012,3,1.86027,"2004-11-24",7.56549726345897,2004
"210",373,"25/11/2004 14:25:54",247526,579539,3,0.649988,"2004-11-25",2.86361773269142,2004
"211",374,"26/11/2004 06:58:02",244937,592811,3,1.61156,"2004-11-26",4.89428268098731,2004
"212",375,"16/12/2004 21:14:30",239436,583434,3,0.776048,"2004-12-16",6.13544016773873,2004
"213",376,"09/01/2005 23:59:39",248916,593907,3,1.68572,"2005-01-09",4.65741772198686,2005
"214",377,"17/01/2005 00:00:56",249706,593254,3,1.09704,"2005-01-17",5.66264242310532,2005
"215",378,"30/01/2005 02:31:34",242014,588600,3,1.02706,"2005-01-30",8.16893258923092,2005
"216",379,"08/02/2005 13:20:34",238381,592859,3,2.25013,"2005-02-08",3.53059487441436,2005
"217",381,"16/02/2005 10:46:18",248518,602879,3,1.25657,"2005-02-16",4.43179174017892,2005
"218",383,"18/02/2005 12:55:47",244771,595739,3,1.3374,"2005-02-18",2.23883276996299,2005
"219",384,"18/02/2005 18:49:26",246001,583591,3,0.541672,"2005-02-18",2.72309795475977,2005
"220",385,"18/02/2005 22:05:52",244426,584452,3,1.63199,"2005-02-18",3.48560398653979,2005
"221",386,"20/02/2005 06:03:25",249125,577529,3,0.0182004,"2005-02-20",5.34847189692719,2005
"222",387,"25/02/2005 03:46:10",249888,595281,3,1.58474,"2005-02-25",4.15024368308032,2005
"223",388,"01/03/2005 16:31:59",257238,594355,3,1.22572,"2005-03-01",10.723383910474,2005
"224",389,"08/03/2005 23:00:59",256946,587187,3,0.861305,"2005-03-08",13.3689103986237,2005
"225",390,"10/03/2005 02:04:40",249763,596021,3,1.9523,"2005-03-10",3.50141519917452,2005
"226",391,"21/03/2005 10:58:34",247059,586468,3,0.932849,"2005-03-21",5.78842812968289,2005
"227",393,"02/04/2005 23:21:09",249144,587919,3,1.21381,"2005-04-02",7.99976758349488,2005
"228",394,"18/04/2005 19:11:17",249491,587277,3,1.02523,"2005-04-18",7.6486304123182,2005
"229",395,"21/04/2005 20:49:22",254877,590372,3,0.89995,"2005-04-21",11.1212879474901,2005
"230",396,"22/04/2005 00:14:50",252999,595232,3,0.815011,"2005-04-22",6.54105864657324,2005
"231",397,"30/04/2005 19:28:03",242402,597810,3,0.973121,"2005-04-30",3.583187578651,2005
"232",398,"17/05/2005 08:50:14",255569,583856,3,0.997068,"2005-05-17",9.85409963007422,2005
"233",399,"25/05/2005 21:33:46",252762,579550,3,1.06372,"2005-05-25",7.8228099847943,2005
"234",401,"30/05/2005 15:36:46",243102,595930,3,2.28626,"2005-05-30",3.3760559409857,2005
"235",402,"22/06/2005 16:02:02",250346,594622,3,1.50646,"2005-06-22",4.72867373916791,2005
"236",403,"09/07/2005 17:01:37",241646,584308,3,1.10522,"2005-07-09",4.74864165697386,2005
"237",404,"17/07/2005 18:07:08",245593,593380,3,1.82142,"2005-07-17",3.95955851798457,2005
"238",405,"25/07/2005 03:21:59",243481,581392,3,0.823144,"2005-07-25",1.63997584634714,2005
"239",406,"05/08/2005 19:23:02",250141,576899,3,2.22035,"2005-08-05",6.53173844245442,2005
"240",407,"10/09/2005 02:05:12",247265,593078,3,1.23087,"2005-09-10",2.83367013765996,2005
"241",408,"05/10/2005 09:16:03",238574,594532,3,1.70223,"2005-10-05",1.85177110060522,2005
"242",410,"23/10/2005 17:03:38",240725,598484,3,1.8767,"2005-10-23",2.31752960035962,2005
"243",411,"11/11/2005 17:02:30",242453,582764,3,1.36444,"2005-11-11",3.14872133622141,2005
"244",412,"02/01/2006 12:00:46",242319,584042,3,1.07473,"2006-01-02",4.08731433207567,2006
"245",414,"14/01/2006 22:29:55",247230,577548,3,0.326938,"2006-01-14",4.09078980150578,2006
"246",415,"18/01/2006 08:12:47",246876,590194,3,1.48877,"2006-01-18",1.34682592101503,2006
"247",416,"18/01/2006 22:08:16",247467,588368,3,1.5996,"2006-01-18",2.16714568684901,2006
"248",417,"20/01/2006 20:22:50",245113,595263,3,1.34502,"2006-01-20",2.49637976106557,2006
"249",418,"23/01/2006 11:17:40",242428,584137,3,1.91106,"2006-01-23",4.08628347124479,2006
"250",419,"28/01/2006 03:00:42",250234,600260,3,1.12646,"2006-01-28",3.29798952579708,2006
"251",421,"11/02/2006 20:01:36",252399,586500,3,1.26227,"2006-02-11",5.72978221618874,2006
"252",422,"12/02/2006 14:36:39",248862,590956,3,1.47693,"2006-02-12",0.856451014329243,2006
"253",423,"24/02/2006 04:50:30",248386,592579,3,1.32915,"2006-02-24",2.18123281857593,2006
