"","Datetime","Easting","Northing","Depth","Magnitude","Date"
"266","17/03/2002 02:16:28",232448,568012,3,0.433825,"2002-03-17"
"267","14/04/2002 01:11:44",248793,565908,3,1.72513,"2002-04-14"
"268","10/05/2002 10:33:49",252788,600107,3,1.66726,"2002-05-10"
"269","11/05/2002 10:07:23",235180,551342,3,1.47786,"2002-05-11"
"270","22/05/2002 13:38:13",235492,552776,3,0.956672,"2002-05-22"
"271","28/06/2002 03:06:47",226401,553969,3,1.80103,"2002-06-28"
"272","18/07/2002 05:31:17",248320,578811,3,1.64111,"2002-07-18"
"273","27/07/2002 15:01:09",234165,551753,3,1.6226,"2002-07-27"
"274","05/08/2002 19:28:10",240114,563893,3,0.857434,"2002-08-05"
"275","29/08/2002 21:13:23",245745,585330,3,0.00605395,"2002-08-29"
"276","05/09/2002 00:00:21",234849,502850,3,0.885179,"2002-09-05"
"277","06/09/2002 06:07:05",252388,570489,3,0.597508,"2002-09-06"
"278","22/09/2002 07:13:33",241676,564032,3,0.575553,"2002-09-22"
"279","22/09/2002 07:30:14",238924,561608,3,0.471909,"2002-09-22"
"280","12/10/2002 02:32:14",250616,569803,3,0.864466,"2002-10-12"
"281","14/10/2002 23:45:23",266713,539814,2,0.938482,"2002-10-14"
"282","19/10/2002 18:03:39",247573,565439,2,1.28188,"2002-10-19"
"283","14/12/2002 00:13:25",252689,521982,3,1.38083,"2002-12-14"
"284","16/12/2002 12:23:39",244173,568029,3,1.37883,"2002-12-16"
"285","17/12/2002 00:23:19",253209,590375,3,0.88199,"2002-12-17"
"286","18/12/2002 20:31:09",252581,577504,3,0.770058,"2002-12-18"
"287","24/12/2002 02:57:23",266492,539642,2,1.43012,"2002-12-24"
"288","01/01/2003 19:16:15",245333,595415,3,0.961148,"2003-01-01"
"289","13/01/2003 02:45:45",223933,554249,3,1.65758,"2003-01-13"
"290","18/01/2003 18:12:43",247216,589848,3,1.04624,"2003-01-18"
"291","23/01/2003 07:46:17",245952,592032,3,1.64813,"2003-01-23"
"292","30/01/2003 01:27:30",248654,595943,3,1.5105,"2003-01-30"
"293","31/01/2003 15:20:48",248113,583743,3,0.316422,"2003-01-31"
"294","02/02/2003 09:32:24",235727,552130,3,1.95901,"2003-02-02"
