#Network , Station , Location , Channel , Latitude , Longitude , Elevation , Depth , Azimuth , Dip , SensorDescription , Scale , ScaleFreq , ScaleUnits , SampleRate , StartTime , EndTime
NL,BGAR,,HGN,53.36786,6.71359,1,0,0,0,EpiS,213867.4766,1,M/S**2,100,01/01/2017 00:00,15/12/2017 09:01
NL,BGAR,,HGN,53.36786,6.71359,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,15/12/2017 09:01,31/12/2599 23:59
NL,BGAR,,HGZ,53.36786,6.71359,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,01/01/2017 00:00
NL,BGAR,,HGZ,53.36786,6.71359,1,0,0,-90,EpiS,213867.4766,1,M/S**2,100,01/01/2017 00:00,15/12/2017 09:01
NL,BGAR,,HGZ,53.36786,6.71359,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,15/12/2017 09:01,31/12/2599 23:59
NL,BHAR,,HGE,53.22916,6.70898,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,22/01/2022 00:00
NL,BHAR,,HGN,53.22916,6.70898,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,22/01/2022 00:00
NL,BHAR,,HGZ,53.22916,6.70898,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,22/01/2022 00:00
NL,BHKS,,HGE,53.29195,6.78502,1,0,90,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BHKS,,HGN,53.29195,6.78502,1,0,0,0,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BHKS,,HGZ,53.29195,6.78502,1,0,0,-90,EpiS,213867.4766,1,M/S**2,200,17/09/2014 00:00,31/12/2599 23:59
NL,BING,,BHE,50.9708,5.9268,80,0,90,0,STS-2,629145000,1,M/S,40,27/11/2014 00:00,31/12/2599 23:59
NL,BING,,BHN,50.9708,5.9268,80,0,0,0,STS-2,629145000,1,M/S,40,27/11/2014 00:00,31/12/2599 23:59
NL,BING,,BHZ,50.9708,5.9268,80,0,0,-90,STS-2,629145000,1,M/S,40,27/11/2014 00:00,31/12/2599 23:59
NL,BKMZ,,HGE,53.290115,6.318887,2,0,90,0,EpiS,213867.4766,1,M/S**2,200,08/12/2015 00:00,31/12/2599 23:59
NL,BKMZ,,HGN,53.290115,6.318887,2,0,0,0,EpiS,213867.4766,1,M/S**2,200,08/12/2015 00:00,31/12/2599 23:59
NL,BKMZ,,HGZ,53.290115,6.318887,2,0,0,-90,EpiS,213867.4766,1,M/S**2,200,08/12/2015 00:00,31/12/2599 23:59
NL,BLIJE,,HG1,53.360325,5.84921,1.2,0,0,0,EpiS,427819.209,1,M/S**2,200,18/02/2021 00:00,31/12/2599 23:59
NL,BLIJE,,HG2,53.360325,5.84921,1.2,0,90,0,EpiS,427819.209,1,M/S**2,200,18/02/2021 00:00,31/12/2599 23:59
NL,BLIJE,,HGZ,53.360325,5.84921,1.2,0,0,-90,EpiS,427819.209,1,M/S**2,200,18/02/2021 00:00,31/12/2599 23:59
