"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"98",1605,"NL","G710","HGE",53.148299,6.650657,"2017-12-04T00:00:00","2018-01-29T13:10:00",239529.2655,574248.8659,"E","2017","2018"
"99",1610,"NL","G720","HGE",53.246248,6.479189,"2018-06-04T00:00:00","2018-09-10T12:27:00",227892.8751,584961.144,"E","2018","2018"
"100",1615,"NL","G730","HGE",53.271889,6.430106,"2017-12-04T00:00:00","2018-01-29T13:10:00",224575.2795,587765.9871,"E","2017","2018"
"101",1620,"NL","G740","HGE",53.304267,6.389409,"2017-12-04T00:00:00","2018-01-29T13:10:00",221810.2067,591330.6084,"E","2017","2018"
"102",1625,"NL","G750","HGE",53.307755,6.487526,"2017-12-04T00:00:00","2018-01-29T13:10:00",228344.7471,591814.2939,"E","2017","2018"
"103",1630,"NL","G760","HGE",53.350715,6.390067,"2017-12-04T00:00:00","2018-01-29T13:10:00",221782.0376,596500.2496,"E","2017","2018"
"104",1635,"NL","G770","HGE",53.340286,6.330437,"2017-12-04T00:00:00","2018-01-29T13:10:00",217826.5577,595285.9315,"E","2017","2018"
"105",1640,"NL","G780","HGE",53.364822,6.489397,"2017-12-04T00:00:00","2018-01-29T13:10:00",228372.1869,598166.9107,"E","2017","2018"
"106",1645,"NL","G790","HGE",53.383557,6.331927,"2017-12-04T00:00:00","2018-01-29T13:10:00",217862.5691,600102.8017,"E","2017","2018"
"107",1650,"NL","G800","HGE",53.415374,6.487625,"2017-12-04T00:00:00","2018-01-29T13:10:00",228168.1729,603790.8986,"E","2017","2018"
"108",1663,"NL","G81B","LCE",53.31035,6.677621,"2018-08-29T00:00:00","2599-12-31T23:59:59",241009.9847,592313.4984,"E","2018","2599"
"109",1687,"NL","G82B","LCE",53.22525,6.724121,"2018-08-14T00:00:00","2599-12-31T23:59:59",244284.9563,582900.2906,"E","2018","2599"
"110",1711,"NL","G83B","LCE",53.14844,6.930871,"2018-08-14T00:00:00","2599-12-31T23:59:59",258274.3922,574629.7178,"E","2018","2599"
"111",1735,"NL","G84B","LCE",53.220726,7.038012,"2018-08-14T00:00:00","2599-12-31T23:59:59",265257.161,582831.7239,"E","2018","2599"
"112",1812,"NL","GUR1","BHE",51.1687,5.7846,"2006-01-27T00:00:00","2599-12-31T23:59:59",182794.7609,353326.9523,"E","2006","2599"
"113",1815,"NL","HGN","BHE",50.764,5.9317,"2001-06-06T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E","2001","2003"
"114",1818,"NL","HGN","BHE",50.764,5.9317,"2003-02-04T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E","2003","2003"
"115",1821,"NL","HGN","BHE",50.764,5.9317,"2003-10-24T00:00:00","2009-04-27T00:00:00",193418.3014,308371.3776,"E","2003","2009"
"116",1828,"NL","HGN","BHE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2009","2599"
"117",1831,"NL","HGN","LCE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E","2009","2599"
"118",1842,"NL","HLB","EHE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E","2018","2599"
"119",1845,"NL","HLB","EPE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E","2018","2599"
"120",1848,"NL","HLG","EHE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E","2018","2599"
"121",1851,"NL","HLG","EPE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E","2018","2599"
"122",1854,"NL","HLH","EHE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E","2018","2599"
"123",1857,"NL","HLH","EPE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E","2018","2599"
"124",1860,"NL","HLK","EHE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E","2018","2599"
"125",1863,"NL","HLK","EPE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E","2018","2599"
"126",1872,"NL","HRKB","BHE",51.1879,6.1678,"2018-06-08T00:00:00","2599-12-31T23:59:59",209572.9857,355679.0456,"E","2018","2599"
"127",1875,"NL","HWF1","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E","1995","2010"
"128",1878,"NL","HWF1","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E","2010","2016"
"129",1881,"NL","HWF1","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E","2016","2599"
"130",1884,"NL","HWF2","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E","1995","2010"
"131",1887,"NL","HWF2","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E","2010","2016"
"132",1890,"NL","HWF2","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E","2016","2599"
"133",1893,"NL","HWF3","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E","1995","2010"
"134",1896,"NL","HWF3","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E","2010","2016"
"135",1899,"NL","HWF3","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E","2016","2599"
"136",1902,"NL","HWF4","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E","1995","2010"
"137",1905,"NL","HWF4","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E","2010","2016"
"138",1908,"NL","HWF4","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E","2016","2599"
"139",1933,"NL","J01","HHE",52.76501,5.05455,"2014-06-01T00:00:00","2599-12-31T23:59:59",132546.7769,530906.5484,"E","2014","2599"
"140",1936,"NL","J02","HHE",52.725492,5.194842,"2018-09-01T00:00:00","2599-12-31T23:59:59",142004.3306,526474.8353,"E","2018","2599"
"141",2188,"NL","MAME","BHE",50.8,5.9727,"2015-04-16T00:00:00","2599-12-31T23:59:59",196279.0636,312398.6162,"E","2015","2599"
"142",2191,"NL","MAME","LCE",50.8,5.9727,"2015-04-16T00:00:00","2599-12-31T23:59:59",196279.0636,312398.6162,"E","2015","2599"
"143",2268,"NL","NIW1","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T10:00:00",198666.703,596688.5006,"E","2009","2018"
"144",2271,"NL","NIW1","HHE",53.3548,6.043,"2018-02-15T10:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E","2018","2599"
"145",2274,"NL","NIW2","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E","2009","2018"
"146",2277,"NL","NIW2","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E","2018","2599"
"147",2280,"NL","NIW3","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E","2009","2018"
"148",2283,"NL","NIW3","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E","2018","2599"
"149",2286,"NL","NIW4","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E","2009","2018"
"150",2289,"NL","NIW4","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E","2018","2599"
