Num,Place,Date,Time_UT,Magnitude,Depth,Easting,Northing,Field,Province
169,Groningen,22/09/2003,17:50:11,2.4,3.00,241531.43,601745.99,Groningen,Groningen
170,Groningen,27/09/2003,13:57:54,2.7,3.00,242225.30,596526.57,Groningen,Groningen
171,Groningen,24/10/2003,01:52:41,3.0,3.00,248666.38,590748.12,Groningen,Groningen
172,Groningen,26/10/2003,09:17:00,1.2,3.00,248380.21,591744.43,Groningen,Groningen
173,Groningen,29/10/2003,14:30:09,1.0,3.00,248288.52,579275.01,Groningen,Groningen
174,Groningen,10/11/2003,00:22:38,3.0,3.00,241805.51,593958.64,Groningen,Groningen
175,Groningen,10/11/2003,02:40:55,1.4,3.00,243088.92,596653.69,Groningen,Groningen
176,Groningen,16/11/2003,20:04:11,2.7,3.00,242566.38,596087.52,Groningen,Groningen
177,Groningen,26/12/2003,10:09:58,1.4,3.00,249278.40,593543.13,Groningen,Groningen
178,Groningen,29/12/2003,13:09:59,1.5,3.00,258285.01,596289.18,Groningen,Groningen
179,Groningen,12/01/2004,01:05:47,1.6,3.00,245755.28,578892.65,Groningen,Groningen
180,Groningen,24/01/2004,13:53:44,1.0,3.00,243915.53,587986.15,Groningen,Groningen
181,Groningen,30/01/2004,11:47:40,1.2,3.00,253689.79,592963.94,Groningen,Groningen
182,Groningen,08/03/2004,01:41:16,0.4,3.00,255540.34,590553.23,Groningen,Groningen
183,Groningen,21/03/2004,17:05:44,1.4,3.00,257161.38,586468.45,Groningen,Groningen
184,Groningen,26/03/2004,02:32:45,0.5,3.00,253383.42,588393.41,Groningen,Groningen
185,Groningen,30/04/2004,22:12:43,0.5,3.00,243465.81,583413.91,Groningen,Groningen
186,Groningen,10/06/2004,01:13:26,2.1,3.00,239876.39,601271.08,Groningen,Groningen
187,Groningen,27/07/2004,22:49:45,1.2,3.00,254089.55,596200.60,Groningen,Groningen
188,Groningen,21/08/2004,01:06:32,1.8,3.00,249019.79,576061.08,Groningen,Groningen
189,Groningen,22/09/2004,12:44:33,1.5,3.00,245365.98,592465.94,Groningen,Groningen
190,Groningen,30/10/2004,11:40:52,1.4,3.00,247601.81,597518.03,Groningen,Groningen
191,Groningen,13/11/2004,12:15:57,1.2,3.00,249341.83,590316.07,Groningen,Groningen
192,Groningen,24/11/2004,18:18:57,1.9,3.00,246078.90,590030.41,Groningen,Groningen
193,Groningen,25/11/2004,14:25:54,0.6,3.00,247549.12,579483.37,Groningen,Groningen
194,Groningen,26/11/2004,06:58:01,1.6,3.00,244959.84,592792.27,Groningen,Groningen
195,Groningen,16/12/2004,21:14:30,0.8,3.00,239457.53,583453.15,Groningen,Groningen
196,Groningen,09/01/2005,23:59:38,1.7,3.00,248938.70,593870.43,Groningen,Groningen
197,Groningen,17/01/2005,00:00:55,1.1,3.00,249684.78,593217.17,Groningen,Groningen
198,Groningen,30/01/2005,02:31:34,1.0,3.00,242035.59,588619.61,Groningen,Groningen
199,Groningen,08/02/2005,13:20:33,2.3,3.00,238358.39,592895.63,Groningen,Groningen
200,Groningen,16/02/2005,10:46:17,1.3,3.00,248496.07,602878.93,Groningen,Groningen
201,Groningen,18/02/2005,12:55:46,1.3,3.00,244772.37,595683.05,Groningen,Groningen
202,Groningen,18/02/2005,18:49:25,0.5,3.00,246001.02,583572.53,Groningen,Groningen
203,Groningen,18/02/2005,22:05:52,1.6,3.00,244448.75,584433.93,Groningen,Groningen
204,Groningen,20/02/2005,06:03:24,0.0,3.00,249125.27,577510.24,Groningen,Groningen
205,Groningen,25/02/2005,03:46:09,1.6,3.00,249909.46,595336.74,Groningen,Groningen
206,Groningen,01/03/2005,16:31:59,1.2,3.00,257259.85,594374.64,Groningen,Groningen
207,Groningen,08/03/2005,23:00:58,0.9,3.00,256947.02,587131.84,Groningen,Groningen
208,Groningen,10/03/2005,02:04:39,2.0,3.00,249763.05,596001.77,Groningen,Groningen
209,Groningen,21/03/2005,10:58:33,0.9,3.00,247080.66,586487.33,Groningen,Groningen
210,Groningen,02/04/2005,23:21:08,1.2,3.00,249120.92,587974.02,Groningen,Groningen
211,Groningen,18/04/2005,19:11:16,1.0,3.00,249467.60,587312.91,Groningen,Groningen
212,Groningen,21/04/2005,20:49:21,0.9,3.00,254875.92,590428.03,Groningen,Groningen
213,Groningen,22/04/2005,00:14:49,0.8,3.00,252977.90,595175.82,Groningen,Groningen
214,Groningen,30/04/2005,19:28:02,1.0,3.00,242402.74,597754.31,Groningen,Groningen
215,Groningen,17/05/2005,08:50:14,1.0,3.00,255546.64,583873.98,Groningen,Groningen
216,Groningen,25/05/2005,21:33:46,1.1,3.00,252761.56,579586.41,Groningen,Groningen
217,Groningen,30/05/2005,15:36:45,2.3,3.00,243101.19,595986.00,Groningen,Groningen
218,Groningen,22/06/2005,16:02:02,1.5,3.00,250322.38,594676.99,Groningen,Groningen
219,Groningen,09/07/2005,17:01:37,1.1,3.00,241646.92,584271.30,Groningen,Groningen
220,Groningen,17/07/2005,18:07:07,1.8,3.00,245615.74,593361.21,Groningen,Groningen
221,Groningen,25/07/2005,03:21:58,0.8,3.00,243502.65,581410.93,Groningen,Groningen
222,Groningen,05/08/2005,19:23:02,2.2,3.00,250141.27,576862.31,Groningen,Groningen
223,Groningen,10/09/2005,02:05:11,1.2,3.00,247288.01,593059.14,Groningen,Groningen
224,Groningen,05/10/2005,09:16:02,1.7,3.00,238595.85,594569.50,Groningen,Groningen
225,Groningen,23/10/2005,17:03:38,1.9,3.00,240724.48,598503.21,Groningen,Groningen
226,Groningen,11/11/2005,17:02:29,1.4,3.00,242476.37,582727.92,Groningen,Groningen
227,Groningen,02/01/2006,12:00:45,1.1,3.00,242318.56,584060.82,Groningen,Groningen
228,Groningen,14/01/2006,22:29:54,0.3,3.00,247251.22,577585.30,Groningen,Groningen
229,Groningen,18/01/2006,08:12:46,1.5,3.00,246876.93,590156.94,Groningen,Groningen
230,Groningen,18/01/2006,22:08:15,1.6,3.00,247444.63,588386.73,Groningen,Groningen
231,Groningen,20/01/2006,20:22:50,1.3,3.00,245113.75,595244.18,Groningen,Groningen
232,Groningen,23/01/2006,11:17:39,1.9,3.00,242450.06,584174.53,Groningen,Groningen
233,Groningen,28/01/2006,03:00:42,1.1,3.00,250211.73,600240.97,Groningen,Groningen
234,Groningen,11/02/2006,20:01:35,1.3,3.00,252421.23,586481.33,Groningen,Groningen
235,Groningen,12/02/2006,14:36:38,1.5,3.00,248862.04,590974.59,Groningen,Groningen
236,Groningen,24/02/2006,04:50:30,1.3,3.00,248362.88,592634.66,Groningen,Groningen
237,Groningen,04/03/2006,04:32:33,1.8,3.00,245648.94,573881.54,Groningen,Groningen
238,Groningen,21/03/2006,14:50:33,2.4,3.00,246184.77,591479.57,Groningen,Groningen
239,Groningen,23/03/2006,03:12:23,2.2,3.00,247758.79,589394.66,Groningen,Groningen
240,Groningen,05/04/2006,01:41:09,1.4,3.00,255086.15,596332.64,Groningen,Groningen
241,Groningen,12/04/2006,05:20:29,1.2,3.00,251722.56,588025.71,Groningen,Groningen
242,Groningen,13/04/2006,07:38:51,1.5,3.00,239106.15,584448.81,Groningen,Groningen
243,Groningen,16/04/2006,13:51:52,1.9,3.00,248033.98,592405.62,Groningen,Groningen
244,Groningen,16/04/2006,18:44:54,1.1,3.00,247161.15,592722.74,Groningen,Groningen
245,Groningen,19/04/2006,17:39:15,1.6,3.00,241450.31,595176.71,Groningen,Groningen
246,Groningen,22/04/2006,03:41:54,1.5,3.00,245936.25,594035.19,Groningen,Groningen
247,Groningen,22/04/2006,17:03:13,0.4,3.00,235569.20,600194.77,Groningen,Groningen
248,Groningen,23/04/2006,01:18:18,0.9,3.00,254633.87,595655.26,Groningen,Groningen
249,Groningen,02/05/2006,16:52:01,1.0,3.00,248958.32,592868.92,Groningen,Groningen
250,Groningen,03/05/2006,19:16:37,1.2,3.00,247010.28,590159.49,Groningen,Groningen
251,Groningen,07/05/2006,16:11:32,1.4,3.00,243563.26,596217.16,Groningen,Groningen
252,Groningen,22/05/2006,20:23:40,0.9,3.00,242508.72,584620.85,Groningen,Groningen
253,Groningen,06/06/2006,03:17:34,1.4,3.00,249991.79,584428.94,Groningen,Groningen
254,Groningen,08/06/2006,23:31:06,0.8,3.00,241976.69,584499.88,Groningen,Groningen
255,Groningen,16/06/2006,21:06:46,1.6,3.00,247206.04,590385.89,Groningen,Groningen
256,Groningen,17/06/2006,02:43:08,1.2,3.00,247062.02,590939.72,Groningen,Groningen
257,Groningen,17/06/2006,13:16:21,1.4,3.00,252587.31,594722.56,Groningen,Groningen
258,Groningen,23/06/2006,22:35:43,1.7,3.00,246686.14,593158.91,Groningen,Groningen
259,Groningen,24/06/2006,16:42:19,1.2,3.00,250631.03,595907.69,Groningen,Groningen
260,Groningen,12/07/2006,00:13:56,0.9,3.00,249903.30,599010.28,Groningen,Groningen
261,Groningen,12/07/2006,22:56:23,1.3,3.00,253701.23,592407.56,Groningen,Groningen
262,Groningen,16/07/2006,08:10:39,1.5,3.00,253648.31,591738.53,Groningen,Groningen
263,Groningen,08/08/2006,05:04:00,3.5,3.00,242221.25,596749.14,Groningen,Groningen
264,Groningen,08/08/2006,09:49:23,2.5,3.00,242889.16,596650.02,Groningen,Groningen
265,Groningen,11/08/2006,06:21:23,1.1,3.00,240816.77,582141.46,Groningen,Groningen
266,Groningen,26/08/2006,22:41:18,2.3,3.00,243234.39,595988.45,Groningen,Groningen
267,Groningen,27/09/2006,23:30:44,1.6,3.00,241521.21,598628.86,Groningen,Groningen
268,Groningen,06/10/2006,00:10:28,1.6,3.00,248517.86,591524.47,Groningen,Groningen
269,Groningen,23/10/2006,13:38:05,2.3,3.00,244905.32,599247.80,Groningen,Groningen
270,Groningen,25/10/2006,09:45:41,1.4,3.00,257328.84,594264.79,Groningen,Groningen
271,Groningen,26/10/2006,13:59:37,1.4,3.00,242664.25,601655.29,Groningen,Groningen
272,Groningen,05/11/2006,15:00:25,1.2,3.00,248714.15,588300.02,Groningen,Groningen
273,Groningen,10/01/2007,18:36:28,1.5,3.00,254629.25,595877.81,Groningen,Groningen
274,Groningen,18/01/2007,22:29:44,0.9,3.00,247044.41,588379.05,Groningen,Groningen
275,Groningen,26/01/2007,00:20:09,2.3,3.00,246079.01,597043.55,Groningen,Groningen
276,Groningen,31/01/2007,01:03:35,1.2,3.00,240520.82,598722.21,Groningen,Groningen
277,Groningen,04/02/2007,04:47:35,0.6,3.00,239632.23,596257.44,Groningen,Groningen
278,Groningen,16/02/2007,11:14:09,1.5,3.00,242802.15,583179.12,Groningen,Groningen
279,Groningen,17/02/2007,01:41:14,2.6,3.00,242870.96,583069.06,Groningen,Groningen
280,Groningen,17/02/2007,02:21:08,0.9,3.00,241533.43,583156.12,Groningen,Groningen
281,Groningen,17/02/2007,19:58:01,0.9,3.00,252872.65,597066.19,Groningen,Groningen
282,Groningen,03/03/2007,06:43:33,1.1,3.00,243188.52,583965.39,Groningen,Groningen
283,Groningen,11/03/2007,01:08:14,1.1,3.00,247799.58,594182.21,Groningen,Groningen
284,Groningen,21/03/2007,23:04:36,1.2,3.00,244112.90,584539.01,Groningen,Groningen
285,Groningen,30/03/2007,16:25:05,1.2,3.00,243119.71,584075.44,Groningen,Groningen
286,Groningen,01/04/2007,15:42:37,0.7,3.00,241996.83,583387.11,Groningen,Groningen
287,Groningen,13/04/2007,14:57:28,1.2,3.00,245544.11,583007.33,Groningen,Groningen
288,Groningen,14/05/2007,12:19:24,2.0,3.00,242592.82,594640.86,Groningen,Groningen
