X,Y,topo_gradients_smoothed
230500.00,570500.00,3.966362e-03
230500.00,571000.00,4.399361e-03
230500.00,571500.00,4.786986e-03
230500.00,572000.00,5.112670e-03
230500.00,572500.00,5.365291e-03
230500.00,573000.00,5.539555e-03
230500.00,573500.00,5.637286e-03
230500.00,574000.00,5.665931e-03
230500.00,574500.00,5.638448e-03
230500.00,575000.00,5.571167e-03
230500.00,575500.00,5.481807e-03
230500.00,576000.00,5.387224e-03
230500.00,576500.00,5.302991e-03
230500.00,577000.00,5.239813e-03
230500.00,577500.00,5.204075e-03
230500.00,578000.00,5.198977e-03
230500.00,578500.00,5.224777e-03
230500.00,579000.00,5.281168e-03
230500.00,579500.00,5.368578e-03
230500.00,580000.00,5.491391e-03
230500.00,580500.00,5.657622e-03
230500.00,581000.00,5.882604e-03
230500.00,581500.00,6.187799e-03
230500.00,582000.00,6.600094e-03
230500.00,582500.00,7.149908e-03
230500.00,583000.00,7.867800e-03
230500.00,583500.00,8.780217e-03
230500.00,584000.00,9.906945e-03
230500.00,584500.00,1.125334e-02
230500.00,585000.00,1.281101e-02
230500.00,585500.00,1.455331e-02
230500.00,586000.00,1.643610e-02
230500.00,586500.00,1.840184e-02
230500.00,587000.00,2.038339e-02
230500.00,587500.00,2.231184e-02
230500.00,588000.00,2.412414e-02
230500.00,588500.00,2.577020e-02
230500.00,589000.00,2.722042e-02
230500.00,589500.00,2.846772e-02
230500.00,590000.00,2.952724e-02
230500.00,590500.00,3.043471e-02
230500.00,591000.00,3.123695e-02
230500.00,591500.00,3.198841e-02
230500.00,592000.00,3.273979e-02
230500.00,592500.00,3.353099e-02
230500.00,593000.00,3.438639e-02
230500.00,593500.00,3.531042e-02
230500.00,594000.00,3.628862e-02
230500.00,594500.00,3.728860e-02
230500.00,595000.00,3.826645e-02
230500.00,595500.00,3.917092e-02
230500.00,596000.00,3.995161e-02
230500.00,596500.00,4.056321e-02
230500.00,597000.00,4.097225e-02
230500.00,597500.00,4.116085e-02
230500.00,598000.00,4.112643e-02
230500.00,598500.00,4.088369e-02
230500.00,599000.00,4.046111e-02
230500.00,599500.00,3.989786e-02
230500.00,600000.00,3.923848e-02
230500.00,600500.00,3.853087e-02
230500.00,601000.00,3.781824e-02
230500.00,601500.00,3.713796e-02
230500.00,602000.00,3.651825e-02
230500.00,602500.00,3.597662e-02
230500.00,603000.00,3.551964e-02
230500.00,603500.00,3.514226e-02
230500.00,604000.00,3.483027e-02
230500.00,604500.00,3.455921e-02
230500.00,605000.00,3.429829e-02
230500.00,605500.00,3.401215e-02
230500.00,606000.00,3.366368e-02
230500.00,606500.00,3.321692e-02
230500.00,607000.00,3.264013e-02
230500.00,607500.00,3.190743e-02
230500.00,608000.00,3.100332e-02
230500.00,608500.00,2.991862e-02
230500.00,609000.00,2.865546e-02
230500.00,609500.00,2.722475e-02
230500.00,610000.00,2.564456e-02
230500.00,610500.00,2.394123e-02
230500.00,611000.00,2.214787e-02
