"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","Xcoord","Ycoord"
"89","NL","BAPP",NA,"HUM",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1,0,"PERCENT",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"90","NL","BAPP",NA,"LCE",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1e+06,0,"S",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"91","NL","BAPP",NA,"LCQ",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1,0,"PERCENT",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"92","NL","BAPP",NA,"VEC",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",1000,0,"A",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"93","NL","BAPP",NA,"VEP",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",6.66667,0,"V",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"94","NL","BAPP",NA,"VVB",53.31482,6.83539,0,0,0,0,"Rock/Etna digitizer Kinemetrics",6.66667,0,"V",1,"07/10/2013 00:00","31/12/2599 23:59",251514.810349211,593010.956201478
"95","NL","BBER",NA,"HGE",52.661427,4.7045,2,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"04/12/2017 00:00","21/05/2019 00:00",108811.028881355,519546.81650817
"96","NL","BBER",NA,"HGN",52.661427,4.7045,2,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"04/12/2017 00:00","21/05/2019 00:00",108811.028881355,519546.81650817
"97","NL","BBER",NA,"HGZ",52.661427,4.7045,2,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"04/12/2017 00:00","21/05/2019 00:00",108811.028881355,519546.81650817
"98","NL","BER1",NA,"HG1",52.661396,4.703678,1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"18/11/2019 00:00","31/12/2599 23:59",108755.384387172,519543.892461748
"99","NL","BER1",NA,"HG2",52.661396,4.703678,1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"18/11/2019 00:00","31/12/2599 23:59",108755.384387172,519543.892461748
"100","NL","BER1",NA,"HGZ",52.661396,4.703678,1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"18/11/2019 00:00","31/12/2599 23:59",108755.384387172,519543.892461748
"101","NL","BER2",NA,"HG1",52.6478,4.714988,-1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"25/07/2019 00:00","31/12/2599 23:59",109506.495783384,518023.913669485
"102","NL","BER2",NA,"HG2",52.6478,4.714988,-1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"25/07/2019 00:00","31/12/2599 23:59",109506.495783384,518023.913669485
"103","NL","BER2",NA,"HGZ",52.6478,4.714988,-1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"25/07/2019 00:00","31/12/2599 23:59",109506.495783384,518023.913669485
"104","NL","BFB2",NA,"HGE",53.18751,6.76549,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",247127.88946485,578752.848820877
"105","NL","BFB2",NA,"HGN",53.18751,6.76549,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",247127.88946485,578752.848820877
"106","NL","BFB2",NA,"HGZ",53.18751,6.76549,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",247127.88946485,578752.848820877
"107","NL","BGAR",NA,"HGE",53.36786,6.71359,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","01/01/2017 00:00",243289.275098179,598756.853369443
"108","NL","BGAR",NA,"HGE",53.36786,6.71359,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",100,"01/01/2017 00:00","15/12/2017 09:01",243289.275098179,598756.853369443
"109","NL","BGAR",NA,"HGE",53.36786,6.71359,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"15/12/2017 09:01","31/12/2599 23:59",243289.275098179,598756.853369443
"110","NL","BGAR",NA,"HGN",53.36786,6.71359,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","01/01/2017 00:00",243289.275098179,598756.853369443
"111","NL","BGAR",NA,"HGN",53.36786,6.71359,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",100,"01/01/2017 00:00","15/12/2017 09:01",243289.275098179,598756.853369443
"112","NL","BGAR",NA,"HGN",53.36786,6.71359,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"15/12/2017 09:01","31/12/2599 23:59",243289.275098179,598756.853369443
"113","NL","BGAR",NA,"HGZ",53.36786,6.71359,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","01/01/2017 00:00",243289.275098179,598756.853369443
"114","NL","BGAR",NA,"HGZ",53.36786,6.71359,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",100,"01/01/2017 00:00","15/12/2017 09:01",243289.275098179,598756.853369443
"115","NL","BGAR",NA,"HGZ",53.36786,6.71359,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"15/12/2017 09:01","31/12/2599 23:59",243289.275098179,598756.853369443
"116","NL","BHAR",NA,"HGE",53.22916,6.70898,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","22/01/2022 00:00",243265.868850337,583316.719199304
"117","NL","BHAR",NA,"HGN",53.22916,6.70898,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","22/01/2022 00:00",243265.868850337,583316.719199304
"118","NL","BHAR",NA,"HGZ",53.22916,6.70898,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","22/01/2022 00:00",243265.868850337,583316.719199304
"119","NL","BHKS",NA,"HGE",53.29195,6.78502,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",248207.605999749,590399.655254889
"120","NL","BHKS",NA,"HGN",53.29195,6.78502,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",248207.605999749,590399.655254889
"121","NL","BHKS",NA,"HGZ",53.29195,6.78502,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"17/09/2014 00:00","31/12/2599 23:59",248207.605999749,590399.655254889
"122","NL","BING",NA,"BHE",50.9708,5.9268,80,0,90,0,"STS-2",629145000,1,"M/S",40,"27/11/2014 00:00","31/12/2599 23:59",192902.917861977,331374.86511414
"123","NL","BING",NA,"BHN",50.9708,5.9268,80,0,0,0,"STS-2",629145000,1,"M/S",40,"27/11/2014 00:00","31/12/2599 23:59",192902.917861977,331374.86511414
"124","NL","BING",NA,"BHZ",50.9708,5.9268,80,0,0,-90,"STS-2",629145000,1,"M/S",40,"27/11/2014 00:00","31/12/2599 23:59",192902.917861977,331374.86511414
"125","NL","BKMZ",NA,"HGE",53.290115,6.318887,2,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"08/12/2015 00:00","31/12/2599 23:59",217129.543948898,589692.530872332
"126","NL","BKMZ",NA,"HGN",53.290115,6.318887,2,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"08/12/2015 00:00","31/12/2599 23:59",217129.543948898,589692.530872332
"127","NL","BKMZ",NA,"HGZ",53.290115,6.318887,2,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"08/12/2015 00:00","31/12/2599 23:59",217129.543948898,589692.530872332
"128","NL","BLIJE",NA,"HG1",53.360325,5.84921,1.2,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"18/02/2021 00:00","31/12/2599 23:59",185759.164208176,597203.159881721
"129","NL","BLIJE",NA,"HG2",53.360325,5.84921,1.2,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"18/02/2021 00:00","31/12/2599 23:59",185759.164208176,597203.159881721
"130","NL","BLIJE",NA,"HGZ",53.360325,5.84921,1.2,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"18/02/2021 00:00","31/12/2599 23:59",185759.164208176,597203.159881721
"131","NL","BLOP",NA,"HGE",53.33391,6.74663,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"23/09/2013 00:00","31/12/2599 23:59",245559.743860134,595019.915619243
"132","NL","BLOP",NA,"HGN",53.33391,6.74663,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"23/09/2013 00:00","31/12/2599 23:59",245559.743860134,595019.915619243
"133","NL","BLOP",NA,"HGZ",53.33391,6.74663,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"23/09/2013 00:00","31/12/2599 23:59",245559.743860134,595019.915619243
"134","NL","BMD1",NA,"HGE",53.34726,6.64225,2,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"11/09/2013 00:00","11/03/2014 05:16",238580.938968071,596379.233671198
"135","NL","BMD1",NA,"HGN",53.34726,6.64225,2,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"11/09/2013 00:00","11/03/2014 05:16",238580.938968071,596379.233671198
