"","X.Network","Station","Location","Channel","Latitude","Longitude","Elevation","Depth","Azimuth","Dip","SensorDescription","Scale","ScaleFreq","ScaleUnits","SampleRate","StartTime","EndTime","End_date"
"114","NL","BHKS",NA,"HGZ",53.29195,6.78502,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2014-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
"115","NL","BING",NA,"BHE",50.9708,5.9268,80,0,90,0,"STS-2",6.29e+08,1,"M/S",40,"2014-11-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"116","NL","BING",NA,"BHN",50.9708,5.9268,80,0,0,0,"STS-2",6.29e+08,1,"M/S",40,"2014-11-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"117","NL","BING",NA,"BHZ",50.9708,5.9268,80,0,0,-90,"STS-2",6.29e+08,1,"M/S",40,"2014-11-27T00:00:00","2599-12-31T23:59:59","2599-12-31"
"118","NL","BKMZ",NA,"HGE",53.290115,6.318887,2,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2015-12-08T00:00:00","2599-12-31T23:59:59","2599-12-31"
"119","NL","BKMZ",NA,"HGN",53.290115,6.318887,2,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2015-12-08T00:00:00","2599-12-31T23:59:59","2599-12-31"
"120","NL","BKMZ",NA,"HGZ",53.290115,6.318887,2,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2015-12-08T00:00:00","2599-12-31T23:59:59","2599-12-31"
"121","NL","BLIJE",NA,"HG1",53.360325,5.84921,1.2,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2021-02-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"122","NL","BLIJE",NA,"HG2",53.360325,5.84921,1.2,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2021-02-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"123","NL","BLIJE",NA,"HGZ",53.360325,5.84921,1.2,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2021-02-18T00:00:00","2599-12-31T23:59:59","2599-12-31"
"124","NL","BLOP",NA,"HGE",53.33391,6.74663,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"125","NL","BLOP",NA,"HGN",53.33391,6.74663,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"126","NL","BLOP",NA,"HGZ",53.33391,6.74663,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-23T00:00:00","2599-12-31T23:59:59","2599-12-31"
"131","NL","BMD2",NA,"HGE",53.35325,6.6472,0,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T14:10:00","2599-12-31T23:59:59","2599-12-31"
"133","NL","BMD2",NA,"HGN",53.35325,6.6472,0,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T14:10:00","2599-12-31T23:59:59","2599-12-31"
"135","NL","BMD2",NA,"HGZ",53.35325,6.6472,0,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T14:10:00","2599-12-31T23:59:59","2599-12-31"
"139","NL","BOWW",NA,"HGE",53.34053,6.8125,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"140","NL","BOWW",NA,"HGN",53.34053,6.8125,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"141","NL","BOWW",NA,"HGZ",53.34053,6.8125,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2013-10-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"142","NL","BRSW",NA,"HGE",52.842316,7.032279,12.5,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-02-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"143","NL","BRSW",NA,"HGN",52.842316,7.032279,12.5,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-02-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"144","NL","BRSW",NA,"HGZ",52.842316,7.032279,12.5,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2019-02-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"145","NL","BRTL",NA,"HG1",53.237996,6.393218,-0.1,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2022-05-20T00:00:00","2599-12-31T23:59:59","2599-12-31"
"146","NL","BRTL",NA,"HG2",53.237996,6.393218,-0.1,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2022-05-20T00:00:00","2599-12-31T23:59:59","2599-12-31"
"147","NL","BRTL",NA,"HGZ",53.237996,6.393218,-0.1,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2022-05-20T00:00:00","2599-12-31T23:59:59","2599-12-31"
"160","NL","BSTD",0,"HGE",53.31215,6.692101,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T13:00:00","2599-12-31T23:59:59","2599-12-31"
"161","NL","BSTD",0,"HGN",53.31215,6.692101,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T13:00:00","2599-12-31T23:59:59","2599-12-31"
"162","NL","BSTD",0,"HGZ",53.31215,6.692101,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2019-12-05T13:00:00","2599-12-31T23:59:59","2599-12-31"
"169","NL","BWIR",NA,"HGE",53.32257,6.7861,0,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"170","NL","BWIR",NA,"HGN",53.32257,6.7861,0,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"171","NL","BWIR",NA,"HGZ",53.32257,6.7861,0,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2013-09-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"172","NL","BWSE",NA,"HGE",53.34442,6.70989,1,0,90,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"173","NL","BWSE",NA,"HGN",53.34442,6.70989,1,0,0,0,"EpiS",213867.4766,1,"M/S**2",200,"2013-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"174","NL","BWSE",NA,"HGZ",53.34442,6.70989,1,0,0,-90,"EpiS",213867.4766,1,"M/S**2",200,"2013-04-24T00:00:00","2599-12-31T23:59:59","2599-12-31"
"203","NL","CIA01",0,"HDF",51.96884,4.92793,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"205","NL","CIA02",0,"HDF",51.96968,4.92881,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"207","NL","CIA03",0,"HDF",51.96859,4.92949,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"209","NL","CIA04",0,"HDF",51.96786,4.92801,-2,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"211","NL","CIA05",0,"HDF",51.9685,4.92642,-2,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"213","NL","CIA06",0,"HDF",51.96962,4.92692,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"215","NL","CIA07",0,"HDF",51.97071,4.92579,0,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"217","NL","CIA08",0,"HDF",51.97209,4.92395,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"219","NL","CIA09",0,"HDF",51.97421,4.92298,-1,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"221","NL","CIA10",0,"HDF",51.97297,4.92662,-2,1,0,-90,"KNMI microbarometer",7425.051676,1,"PA",100,"2016-10-14T08:30:00","2599-12-31T23:59:59","2599-12-31"
"222","NL","COE",NA,"HG1",52.66055,6.783616,9.7,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2019-05-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"223","NL","COE",NA,"HG2",52.66055,6.783616,9.7,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2019-05-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"224","NL","COE",NA,"HGZ",52.66055,6.783616,9.7,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2019-05-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"225","NL","COE2",NA,"HG1",52.632783,6.705706,8.9,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-03-09T00:00:00","2599-12-31T23:59:59","2599-12-31"
"226","NL","COE2",NA,"HG2",52.632783,6.705706,8.9,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-03-09T00:00:00","2599-12-31T23:59:59","2599-12-31"
"227","NL","COE2",NA,"HGZ",52.632783,6.705706,8.9,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-03-09T00:00:00","2599-12-31T23:59:59","2599-12-31"
"228","NL","COE3",NA,"HG1",52.670353,6.652457,9.9,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-08-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"229","NL","COE3",NA,"HG2",52.670353,6.652457,9.9,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-08-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"230","NL","COE3",NA,"HGZ",52.670353,6.652457,9.9,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-08-28T00:00:00","2599-12-31T23:59:59","2599-12-31"
"231","NL","COE4",NA,"HG1",52.659759,6.745131,10.7,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-06-26T00:00:00","2599-12-31T23:59:59","2599-12-31"
"232","NL","COE4",NA,"HG2",52.659759,6.745131,10.7,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-06-26T00:00:00","2599-12-31T23:59:59","2599-12-31"
"233","NL","COE4",NA,"HGZ",52.659759,6.745131,10.7,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-06-26T00:00:00","2599-12-31T23:59:59","2599-12-31"
"234","NL","DBLS",NA,"HG1",52.839142,6.049736,2.4,0,0,0,"EpiS",427819.209,1,"M/S**2",200,"2020-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
"235","NL","DBLS",NA,"HG2",52.839142,6.049736,2.4,0,90,0,"EpiS",427819.209,1,"M/S**2",200,"2020-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
"236","NL","DBLS",NA,"HGZ",52.839142,6.049736,2.4,0,0,-90,"EpiS",427819.209,1,"M/S**2",200,"2020-09-17T00:00:00","2599-12-31T23:59:59","2599-12-31"
"240","NL","DBN",1,"BHE",52.1017,5.1767,3,0,90,0,"STS-2",6.29e+08,1,"M/S",40,"2018-07-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"241","NL","DBN",1,"BHN",52.1017,5.1767,3,0,0,0,"STS-2",6.29e+08,1,"M/S",40,"2018-07-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"242","NL","DBN",1,"BHZ",52.1017,5.1767,3,0,0,-90,"STS-2",6.29e+08,1,"M/S",40,"2018-07-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
"243","NL","DBN",1,"HHE",52.1017,5.1767,3,0,90,0,"STS-2",6.29e+08,1,"M/S",100,"2018-07-01T00:00:00","2599-12-31T23:59:59","2599-12-31"
