#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
NL|ARCN||BHN|51.5013|6.1942|0.0|0.0|0.0|0.0|CMG3ES|6.80154E8|1.0|M/S|40.0|2018-05-23T00:00:00|2599-12-31T23:59:59
NL|ARCN||BHZ|51.5013|6.1942|0.0|0.0|0.0|-90.0|CMG3ES|6.88525E8|1.0|M/S|40.0|2018-05-23T00:00:00|2599-12-31T23:59:59
NL|ASS1||HG1|52.977799|6.557414|9.5|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-14T00:00:00|2599-12-31T23:59:59
NL|ASS1||HG2|52.977799|6.557414|9.5|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-14T00:00:00|2599-12-31T23:59:59
NL|ASS1||HGZ|52.977799|6.557414|9.5|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-14T00:00:00|2599-12-31T23:59:59
NL|ASS2||HG1|53.01428|6.570557|12.0|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-24T00:00:00|2599-12-31T23:59:59
NL|ASS2||HG2|53.01428|6.570557|12.0|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-24T00:00:00|2599-12-31T23:59:59
NL|ASS2||HGZ|53.01428|6.570557|12.0|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2020-04-24T00:00:00|2599-12-31T23:59:59
NL|BAPP||HGE|53.31482|6.83539|0.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-07T00:00:00|2599-12-31T23:59:59
NL|BAPP||HGN|53.31482|6.83539|0.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-07T00:00:00|2599-12-31T23:59:59
NL|BAPP||HGZ|53.31482|6.83539|0.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2013-10-07T00:00:00|2599-12-31T23:59:59
NL|BBER||HGE|52.661427|4.7045|2.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-04T00:00:00|2019-05-21T00:00:00
NL|BBER||HGN|52.661427|4.7045|2.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-04T00:00:00|2019-05-21T00:00:00
NL|BBER||HGZ|52.661427|4.7045|2.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-04T00:00:00|2019-05-21T00:00:00
NL|BER1||HG1|52.661396|4.703678|1.0|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-18T00:00:00|2599-12-31T23:59:59
NL|BER1||HG2|52.661396|4.703678|1.0|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-18T00:00:00|2599-12-31T23:59:59
NL|BER1||HGZ|52.661396|4.703678|1.0|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-11-18T00:00:00|2599-12-31T23:59:59
NL|BER2||HG1|52.6478|4.714988|-1.0|0.0|0.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-25T00:00:00|2599-12-31T23:59:59
NL|BER2||HG2|52.6478|4.714988|-1.0|0.0|90.0|0.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-25T00:00:00|2599-12-31T23:59:59
NL|BER2||HGZ|52.6478|4.714988|-1.0|0.0|0.0|-90.0|EpiS|427819.209|1.0|M/S**2|200.0|2019-07-25T00:00:00|2599-12-31T23:59:59
NL|BFB2||HGE|53.18751|6.76549|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BFB2||HGN|53.18751|6.76549|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BFB2||HGZ|53.18751|6.76549|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BGAR||HGE|53.36786|6.71359|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2017-01-01T00:00:00
NL|BGAR||HGE|53.36786|6.71359|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|100.0|2017-01-01T00:00:00|2017-12-15T09:01:00
NL|BGAR||HGE|53.36786|6.71359|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-15T09:01:00|2599-12-31T23:59:59
NL|BGAR||HGN|53.36786|6.71359|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2017-01-01T00:00:00
NL|BGAR||HGN|53.36786|6.71359|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|100.0|2017-01-01T00:00:00|2017-12-15T09:01:00
NL|BGAR||HGN|53.36786|6.71359|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-15T09:01:00|2599-12-31T23:59:59
NL|BGAR||HGZ|53.36786|6.71359|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2017-01-01T00:00:00
NL|BGAR||HGZ|53.36786|6.71359|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|100.0|2017-01-01T00:00:00|2017-12-15T09:01:00
NL|BGAR||HGZ|53.36786|6.71359|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2017-12-15T09:01:00|2599-12-31T23:59:59
NL|BHAR||HGE|53.22916|6.70898|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2022-01-22T00:00:00
NL|BHAR||HGN|53.22916|6.70898|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2022-01-22T00:00:00
NL|BHAR||HGZ|53.22916|6.70898|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2022-01-22T00:00:00
NL|BHKS||HGE|53.29195|6.78502|1.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BHKS||HGN|53.29195|6.78502|1.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BHKS||HGZ|53.29195|6.78502|1.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2014-09-17T00:00:00|2599-12-31T23:59:59
NL|BING||BHE|50.9708|5.9268|80.0|0.0|90.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2014-11-27T00:00:00|2599-12-31T23:59:59
NL|BING||BHN|50.9708|5.9268|80.0|0.0|0.0|0.0|STS-2|6.29145E8|1.0|M/S|40.0|2014-11-27T00:00:00|2599-12-31T23:59:59
NL|BING||BHZ|50.9708|5.9268|80.0|0.0|0.0|-90.0|STS-2|6.29145E8|1.0|M/S|40.0|2014-11-27T00:00:00|2599-12-31T23:59:59
NL|BKMZ||HGE|53.290115|6.318887|2.0|0.0|90.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2015-12-08T00:00:00|2599-12-31T23:59:59
NL|BKMZ||HGN|53.290115|6.318887|2.0|0.0|0.0|0.0|EpiS|213867.4766|1.0|M/S**2|200.0|2015-12-08T00:00:00|2599-12-31T23:59:59
NL|BKMZ||HGZ|53.290115|6.318887|2.0|0.0|0.0|-90.0|EpiS|213867.4766|1.0|M/S**2|200.0|2015-12-08T00:00:00|2599-12-31T23:59:59
