"","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"179","NL","BWSE","HGE",53.34442,6.70989,1,0,"24/04/2013 00:00","31/12/2599 23:59",243090.9595,596143.8737,2013-04-24,2599-12-31
"180","NL","BWSE","HGN",53.34442,6.70989,1,0,"24/04/2013 00:00","31/12/2599 23:59",243090.9595,596143.8737,2013-04-24,2599-12-31
"181","NL","BWSE","HGZ",53.34442,6.70989,1,0,"24/04/2013 00:00","31/12/2599 23:59",243090.9595,596143.8737,2013-04-24,2599-12-31
"182","NL","BZN1","HGE",53.36567,6.77512,1,0,"24/10/2013 00:00","01/01/2017 00:00",247389.306,598590.4013,2013-10-24,2017-01-01
"183","NL","BZN1","HGE",53.36567,6.77512,1,0,"01/01/2017 00:00","15/12/2017 09:03",247389.306,598590.4013,2017-01-01,2017-12-15
"184","NL","BZN1","HGE",53.36567,6.77512,1,0,"15/12/2017 09:03","02/03/2019 00:00",247389.306,598590.4013,2017-12-15,2019-03-02
"185","NL","BZN1","HGN",53.36567,6.77512,1,0,"24/10/2013 00:00","01/01/2017 00:00",247389.306,598590.4013,2013-10-24,2017-01-01
"186","NL","BZN1","HGN",53.36567,6.77512,1,0,"01/01/2017 00:00","15/12/2017 09:03",247389.306,598590.4013,2017-01-01,2017-12-15
"187","NL","BZN1","HGN",53.36567,6.77512,1,0,"15/12/2017 09:03","02/03/2019 00:00",247389.306,598590.4013,2017-12-15,2019-03-02
"188","NL","BZN1","HGZ",53.36567,6.77512,1,0,"24/10/2013 00:00","01/01/2017 00:00",247389.306,598590.4013,2013-10-24,2017-01-01
"189","NL","BZN1","HGZ",53.36567,6.77512,1,0,"01/01/2017 00:00","15/12/2017 09:03",247389.306,598590.4013,2017-01-01,2017-12-15
"190","NL","BZN1","HGZ",53.36567,6.77512,1,0,"15/12/2017 09:03","02/03/2019 00:00",247389.306,598590.4013,2017-12-15,2019-03-02
"191","NL","BZN2","HGE",53.35683,6.75474,1,0,"23/09/2013 00:00","01/06/2020 00:00",246051.4828,597580.6998,2013-09-23,2020-06-01
"192","NL","BZN2","HGN",53.35683,6.75474,1,0,"23/09/2013 00:00","01/06/2020 00:00",246051.4828,597580.6998,2013-09-23,2020-06-01
"193","NL","BZN2","HGZ",53.35683,6.75474,1,0,"23/09/2013 00:00","01/06/2020 00:00",246051.4828,597580.6998,2013-09-23,2020-06-01
"194","NL","CHA1","HHE",51.5043,4.9212,20,48,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"195","NL","CHA1","HHN",51.5043,4.9212,20,48,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"196","NL","CHA1","HHZ",51.5043,4.9212,20,48,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"197","NL","CHA2","HHE",51.5043,4.9212,20,72,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"198","NL","CHA2","HHN",51.5043,4.9212,20,72,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"199","NL","CHA2","HHZ",51.5043,4.9212,20,72,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"200","NL","CHA3","HHE",51.5043,4.9212,20,96,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"201","NL","CHA3","HHN",51.5043,4.9212,20,96,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"202","NL","CHA3","HHZ",51.5043,4.9212,20,96,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"203","NL","CHA4","HHE",51.5043,4.9212,20,120,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"204","NL","CHA4","HHN",51.5043,4.9212,20,120,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"205","NL","CHA4","HHZ",51.5043,4.9212,20,120,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"206","NL","CHA5","HHE",51.5043,4.9212,20,141,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"207","NL","CHA5","HHN",51.5043,4.9212,20,141,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"208","NL","CHA5","HHZ",51.5043,4.9212,20,141,"03/07/2011 00:00","25/05/2018 00:00",122645.6832,390690.3308,2011-07-03,2018-05-25
"232","NL","COE","HGZ",52.66055,6.783616,9.7,0,"28/05/2019 00:00","31/12/2599 23:59",249473.9985,520143.7901,2019-05-28,2599-12-31
"230","NL","COE","HG1",52.66055,6.783616,9.7,0,"28/05/2019 00:00","31/12/2599 23:59",249473.9985,520143.7901,2019-05-28,2599-12-31
"231","NL","COE","HG2",52.66055,6.783616,9.7,0,"28/05/2019 00:00","31/12/2599 23:59",249473.9985,520143.7901,2019-05-28,2599-12-31
"235","NL","COE2","HGZ",52.632783,6.705706,8.9,0,"09/03/2020 00:00","31/12/2599 23:59",244259.7709,516955.4984,2020-03-09,2599-12-31
"233","NL","COE2","HG1",52.632783,6.705706,8.9,0,"09/03/2020 00:00","31/12/2599 23:59",244259.7709,516955.4984,2020-03-09,2599-12-31
"234","NL","COE2","HG2",52.632783,6.705706,8.9,0,"09/03/2020 00:00","31/12/2599 23:59",244259.7709,516955.4984,2020-03-09,2599-12-31
"238","NL","COE3","HGZ",52.670353,6.652457,9.9,0,"28/08/2020 00:00","31/12/2599 23:59",240582.031,521071.1257,2020-08-28,2599-12-31
"236","NL","COE3","HG1",52.670353,6.652457,9.9,0,"28/08/2020 00:00","31/12/2599 23:59",240582.031,521071.1257,2020-08-28,2599-12-31
"237","NL","COE3","HG2",52.670353,6.652457,9.9,0,"28/08/2020 00:00","31/12/2599 23:59",240582.031,521071.1257,2020-08-28,2599-12-31
"241","NL","COE4","HGZ",52.659759,6.745131,10.7,0,"26/06/2020 00:00","31/12/2599 23:59",246872.1717,520006.1861,2020-06-26,2599-12-31
"239","NL","COE4","HG1",52.659759,6.745131,10.7,0,"26/06/2020 00:00","31/12/2599 23:59",246872.1717,520006.1861,2020-06-26,2599-12-31
"240","NL","COE4","HG2",52.659759,6.745131,10.7,0,"26/06/2020 00:00","31/12/2599 23:59",246872.1717,520006.1861,2020-06-26,2599-12-31
"243","NL","CTSN","HGZ",50.7592,5.9403,151,1,"15/11/2022 12:30","31/12/2599 23:59",194029.1159,307841.9348,2022-11-15,2599-12-31
"246","NL","DBLS","HGZ",52.839142,6.049736,2.4,0,"17/09/2020 00:00","31/12/2599 23:59",199642.7065,539308.9107,2020-09-17,2599-12-31
"244","NL","DBLS","HG1",52.839142,6.049736,2.4,0,"17/09/2020 00:00","31/12/2599 23:59",199642.7065,539308.9107,2020-09-17,2599-12-31
"245","NL","DBLS","HG2",52.839142,6.049736,2.4,0,"17/09/2020 00:00","31/12/2599 23:59",199642.7065,539308.9107,2020-09-17,2599-12-31
"247","NL","DBN","BHE",52.1017,5.1767,3,0,"25/11/1997 00:00","30/06/2018 23:59",140577.1344,457071.562,1997-11-25,2018-06-30
"250","NL","DBN","BHE",52.1017,5.1767,3,0,"01/07/2018 00:00","31/12/2599 23:59",140577.1344,457071.562,2018-07-01,2599-12-31
