"","X","X.Network","Station","Channel","Latitude","Longitude","Elevation","Depth","StartTime","EndTime","Xcoord","Ycoord","Start_date","End_date"
"1604",2840,"NL","VBG4","HHE",52.544,6.6693,11,192,"16/06/2016 10:00","31/12/2599 23:59",241970.4472,507033.3713,"16/06/2016","31/12/2599"
"1617",2858,"NL","VDM24","HHZ",53.084377,6.833631,1.7,200,"22/04/2022 00:00","31/12/2599 23:59",251912.5399,567366.4222,"22/04/2022","31/12/2599"
"1618",2859,"NL","VEN2","HHE",51.4283,6.0937,25,0,"08/05/2012 00:00","06/07/2017 00:00",204133.6658,382370.0141,"08/05/2012","06/07/2017"
"1624",2867,"NL","VHP","HGZ",53.095674,5.955347,-0.4,0,"10/11/2020 00:00","31/12/2599 23:59",193057.8358,567801.2966,"10/11/2020","31/12/2599"
"1627",2872,"NL","VKB","BHE",50.8669,5.7847,90,0,"01/06/2011 12:00","31/12/2599 23:59",182984.3563,319752.1699,"01/06/2011","31/12/2599"
"1637",2894,"NL","VLD","HGZ",52.866799,6.215673,7.6,0,"10/11/2020 00:00","31/12/2599 23:59",210788.276,542501.8195,"10/11/2020","31/12/2599"
"1640",2895,"NL","VLW0","HHE",52.9682,7.0972,7,0,"24/07/1998 00:00","29/10/2010 00:00",269876.4251,554827.0522,"24/07/1998","29/10/2010"
"1670",2925,"NL","VLW4","HHE",52.9682,7.0972,7,200,"23/05/1995 00:00","29/10/2010 00:00",269876.4251,554827.0522,"23/05/1995","29/10/2010"
"1671",2928,"NL","VLW4","HHE",52.9682,7.0972,7,200,"29/10/2010 00:00","15/06/2016 07:00",269876.4251,554827.0522,"29/10/2010","15/06/2016"
"1672",2931,"NL","VLW4","HHE",52.9682,7.0972,7,200,"15/06/2016 07:00","31/12/2599 23:59",269876.4251,554827.0522,"15/06/2016","31/12/2599"
"1686",2957,"NL","VNDM4","HHZ",53.115086,6.839044,1.5,200,"28/05/2019 00:00","31/12/2599 23:59",252206.3537,570790.6953,"28/05/2019","31/12/2599"
"1687",2960,"NL","VNWD","HGZ",53.236782,5.99843,1.4,0,"26/06/2020 00:00","31/12/2599 23:59",195810.5431,583528.1458,"26/06/2020","31/12/2599"
"1690",2963,"NL","VPR","HGZ",51.891502,4.371541,4,0,"15/10/2020 00:00","31/12/2599 23:59",85085.3271,434152.8851,"15/10/2020","31/12/2599"
