"","X.1","X","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year"
"76",3007,"NL","ZLV1","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"77",3010,"NL","ZLV1","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"78",3013,"NL","ZLV1","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"79",3016,"NL","ZLV2","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"80",3019,"NL","ZLV2","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"81",3022,"NL","ZLV2","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"82",3025,"NL","ZLV3","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"83",3028,"NL","ZLV3","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"84",3031,"NL","ZLV3","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"85",3034,"NL","ZLV4","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"86",3037,"NL","ZLV4","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"87",3040,"NL","ZLV4","HHE",53.0921,6.7533,"2016-06-15T11:00:00","2599-12-31T23:59:59",246514.427,568120.7746,"E","2016","2599"
"88",3043,"NL","ZLV5","HHE",53.0921,6.7533,"1995-04-12T00:00:00","2010-05-18T00:00:00",246514.427,568120.7746,"E","1995","2010"
"89",3046,"NL","ZLV5","HHE",53.0921,6.7533,"2010-05-18T00:00:00","2016-06-15T11:00:00",246514.427,568120.7746,"E","2010","2016"
"90",3090,"NL","BAPP","HGE",53.31482,6.83539,"2013-10-07T00:00:00","2599-12-31T23:59:59",251514.8103,593010.9562,"E","2013","2599"
"91",3102,"NL","BFB2","HGE",53.18751,6.76549,"2014-09-17T00:00:00","2599-12-31T23:59:59",247127.8894,578752.8488,"E","2014","2599"
"92",3105,"NL","BGAR","HGE",53.36786,6.71359,"2014-09-17T00:00:00","2017-01-01T00:00:00",243289.2751,598756.8534,"E","2014","2017"
"93",3106,"NL","BGAR","HGE",53.36786,6.71359,"2017-01-01T00:00:00","2017-12-15T09:01:00",243289.2751,598756.8534,"E","2017","2017"
"94",3107,"NL","BGAR","HGE",53.36786,6.71359,"2017-12-15T09:01:00","2599-12-31T23:59:59",243289.2751,598756.8534,"E","2017","2599"
"95",3114,"NL","BHAR","HGE",53.22916,6.70898,"2014-09-17T00:00:00","2599-12-31T23:59:59",243265.8688,583316.7192,"E","2014","2599"
"96",3117,"NL","BHKS","HGE",53.29195,6.78502,"2014-09-17T00:00:00","2599-12-31T23:59:59",248207.606,590399.6553,"E","2014","2599"
