"","Network","Station","Channel","Latitude","Longitude","StartTime","EndTime","Xcoord","Ycoord","Channel3","Start_Year","End_Year","Start_date","End_date"
"89","NL","FSW2","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E",2016,2599,"2016-06-14","2599-12-31"
"90","NL","FSW3","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E",1995,2010,"1995-05-05","2010-04-29"
"91","NL","FSW3","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E",2010,2016,"2010-04-29","2016-06-14"
"92","NL","FSW3","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E",2016,2599,"2016-06-14","2599-12-31"
"93","NL","FSW4","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E",1995,2010,"1995-05-05","2010-04-29"
"94","NL","FSW4","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E",2010,2016,"2010-04-29","2016-06-14"
"95","NL","FSW5","HHE",53.2135,7.1195,"1995-05-05T00:00:00","2010-04-29T00:00:00",270718.3551,582155.5351,"E",1995,2010,"1995-05-05","2010-04-29"
"96","NL","FSW5","HHE",53.2135,7.1195,"2010-04-29T00:00:00","2016-06-14T08:00:00",270718.3551,582155.5351,"E",2010,2016,"2010-04-29","2016-06-14"
"97","NL","FSW5","HHE",53.2135,7.1195,"2016-06-14T08:00:00","2599-12-31T23:59:59",270718.3551,582155.5351,"E",2016,2599,"2016-06-14","2599-12-31"
"98","NL","G710","HGE",53.148299,6.650657,"2017-12-04T00:00:00","2018-01-29T13:10:00",239529.2655,574248.8659,"E",2017,2018,"2017-12-04","2018-01-29"
"99","NL","G720","HGE",53.246248,6.479189,"2018-06-04T00:00:00","2018-09-10T12:27:00",227892.8751,584961.144,"E",2018,2018,"2018-06-04","2018-09-10"
"100","NL","G730","HGE",53.271889,6.430106,"2017-12-04T00:00:00","2018-01-29T13:10:00",224575.2795,587765.9871,"E",2017,2018,"2017-12-04","2018-01-29"
"101","NL","G740","HGE",53.304267,6.389409,"2017-12-04T00:00:00","2018-01-29T13:10:00",221810.2067,591330.6084,"E",2017,2018,"2017-12-04","2018-01-29"
"102","NL","G750","HGE",53.307755,6.487526,"2017-12-04T00:00:00","2018-01-29T13:10:00",228344.7471,591814.2939,"E",2017,2018,"2017-12-04","2018-01-29"
"103","NL","G760","HGE",53.350715,6.390067,"2017-12-04T00:00:00","2018-01-29T13:10:00",221782.0376,596500.2496,"E",2017,2018,"2017-12-04","2018-01-29"
"104","NL","G770","HGE",53.340286,6.330437,"2017-12-04T00:00:00","2018-01-29T13:10:00",217826.5577,595285.9315,"E",2017,2018,"2017-12-04","2018-01-29"
"105","NL","G780","HGE",53.364822,6.489397,"2017-12-04T00:00:00","2018-01-29T13:10:00",228372.1869,598166.9107,"E",2017,2018,"2017-12-04","2018-01-29"
"106","NL","G790","HGE",53.383557,6.331927,"2017-12-04T00:00:00","2018-01-29T13:10:00",217862.5691,600102.8017,"E",2017,2018,"2017-12-04","2018-01-29"
"107","NL","G800","HGE",53.415374,6.487625,"2017-12-04T00:00:00","2018-01-29T13:10:00",228168.1729,603790.8986,"E",2017,2018,"2017-12-04","2018-01-29"
"108","NL","G81B","LCE",53.31035,6.677621,"2018-08-29T00:00:00","2599-12-31T23:59:59",241009.9847,592313.4984,"E",2018,2599,"2018-08-29","2599-12-31"
"109","NL","G82B","LCE",53.22525,6.724121,"2018-08-14T00:00:00","2599-12-31T23:59:59",244284.9563,582900.2906,"E",2018,2599,"2018-08-14","2599-12-31"
"110","NL","G83B","LCE",53.14844,6.930871,"2018-08-14T00:00:00","2599-12-31T23:59:59",258274.3922,574629.7178,"E",2018,2599,"2018-08-14","2599-12-31"
"111","NL","G84B","LCE",53.220726,7.038012,"2018-08-14T00:00:00","2599-12-31T23:59:59",265257.161,582831.7239,"E",2018,2599,"2018-08-14","2599-12-31"
"112","NL","GUR1","BHE",51.1687,5.7846,"2006-01-27T00:00:00","2599-12-31T23:59:59",182794.7609,353326.9523,"E",2006,2599,"2006-01-27","2599-12-31"
"113","NL","HGN","BHE",50.764,5.9317,"2001-06-06T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E",2001,2003,"2001-06-06","2003-10-24"
"114","NL","HGN","BHE",50.764,5.9317,"2003-02-04T00:00:00","2003-10-24T00:00:00",193418.3014,308371.3776,"E",2003,2003,"2003-02-04","2003-10-24"
"115","NL","HGN","BHE",50.764,5.9317,"2003-10-24T00:00:00","2009-04-27T00:00:00",193418.3014,308371.3776,"E",2003,2009,"2003-10-24","2009-04-27"
"116","NL","HGN","BHE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2009,2599,"2009-04-27","2599-12-31"
"117","NL","HGN","LCE",50.764,5.9317,"2009-04-27T00:00:00","2599-12-31T23:59:59",193418.3014,308371.3776,"E",2009,2599,"2009-04-27","2599-12-31"
"118","NL","HLB","EHE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E",2018,2599,"2018-09-01","2599-12-31"
"119","NL","HLB","EPE",53.14647,7.003581,"2018-09-01T00:00:00","2599-12-31T23:59:59",263143.1988,574517.1847,"E",2018,2599,"2018-09-01","2599-12-31"
"120","NL","HLG","EHE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E",2018,2599,"2018-09-01","2599-12-31"
"121","NL","HLG","EPE",53.149107,7.0071,"2018-09-01T00:00:00","2599-12-31T23:59:59",263372.0119,574815.884,"E",2018,2599,"2018-09-01","2599-12-31"
"122","NL","HLH","EHE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E",2018,2599,"2018-09-01","2599-12-31"
"123","NL","HLH","EPE",53.140398,7.00655,"2018-09-01T00:00:00","2599-12-31T23:59:59",263357,573846.0292,"E",2018,2599,"2018-09-01","2599-12-31"
"124","NL","HLK","EHE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E",2018,2599,"2018-09-01","2599-12-31"
"125","NL","HLK","EPE",53.144981,7.009606,"2018-09-01T00:00:00","2599-12-31T23:59:59",263549.9829,574360.5666,"E",2018,2599,"2018-09-01","2599-12-31"
"126","NL","HRKB","BHE",51.1879,6.1678,"2018-06-08T00:00:00","2599-12-31T23:59:59",209572.9857,355679.0456,"E",2018,2599,"2018-06-08","2599-12-31"
"127","NL","HWF1","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E",1995,2010,"1995-06-02","2010-11-24"
"128","NL","HWF1","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E",2010,2016,"2010-11-24","2016-06-13"
"129","NL","HWF1","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E",2016,2599,"2016-06-13","2599-12-31"
"130","NL","HWF2","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E",1995,2010,"1995-06-02","2010-11-24"
"131","NL","HWF2","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E",2010,2016,"2010-11-24","2016-06-13"
"132","NL","HWF2","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E",2016,2599,"2016-06-13","2599-12-31"
"133","NL","HWF3","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E",1995,2010,"1995-06-02","2010-11-24"
"134","NL","HWF3","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E",2010,2016,"2010-11-24","2016-06-13"
"135","NL","HWF3","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E",2016,2599,"2016-06-13","2599-12-31"
"136","NL","HWF4","HHE",53.071,6.3512,"1995-06-02T00:00:00","2010-11-24T00:00:00",219610.562,565337.4459,"E",1995,2010,"1995-06-02","2010-11-24"
"137","NL","HWF4","HHE",53.071,6.3512,"2010-11-24T00:00:00","2016-06-13T11:00:00",219610.562,565337.4459,"E",2010,2016,"2010-11-24","2016-06-13"
"138","NL","HWF4","HHE",53.071,6.3512,"2016-06-13T11:00:00","2599-12-31T23:59:59",219610.562,565337.4459,"E",2016,2599,"2016-06-13","2599-12-31"
"139","NL","J01","HHE",52.76501,5.05455,"2014-06-01T00:00:00","2599-12-31T23:59:59",132546.7769,530906.5484,"E",2014,2599,"2014-06-01","2599-12-31"
"140","NL","J02","HHE",52.725492,5.194842,"2018-09-01T00:00:00","2599-12-31T23:59:59",142004.3306,526474.8353,"E",2018,2599,"2018-09-01","2599-12-31"
"141","NL","MAME","BHE",50.8,5.9727,"2015-04-16T00:00:00","2599-12-31T23:59:59",196279.0636,312398.6162,"E",2015,2599,"2015-04-16","2599-12-31"
"142","NL","MAME","LCE",50.8,5.9727,"2015-04-16T00:00:00","2599-12-31T23:59:59",196279.0636,312398.6162,"E",2015,2599,"2015-04-16","2599-12-31"
"143","NL","NIW1","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T10:00:00",198666.703,596688.5006,"E",2009,2018,"2009-05-20","2018-02-15"
"144","NL","NIW1","HHE",53.3548,6.043,"2018-02-15T10:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E",2018,2599,"2018-02-15","2599-12-31"
"145","NL","NIW2","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E",2009,2018,"2009-05-20","2018-02-15"
"146","NL","NIW2","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E",2018,2599,"2018-02-15","2599-12-31"
"147","NL","NIW3","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E",2009,2018,"2009-05-20","2018-02-15"
"148","NL","NIW3","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E",2018,2599,"2018-02-15","2599-12-31"
"149","NL","NIW4","HHE",53.3548,6.043,"2009-05-20T00:00:00","2018-02-15T00:00:00",198666.703,596688.5006,"E",2009,2018,"2009-05-20","2018-02-15"
"150","NL","NIW4","HHE",53.3548,6.043,"2018-02-15T00:00:00","2599-12-31T23:59:59",198666.703,596688.5006,"E",2018,2599,"2018-02-15","2599-12-31"
"151","NL","OPLO","BHE",51.5888,5.8121,"1998-09-03T00:00:00","2009-10-28T00:00:00",184445.7748,400073.7043,"E",1998,2009,"1998-09-03","2009-10-28"
"152","NL","OPLO","BHE",51.5888,5.8121,"2009-10-29T00:00:00","2599-12-31T23:59:59",184445.7748,400073.7043,"E",2009,2599,"2009-10-29","2599-12-31"
"153","NL","OPLO","LCE",51.5888,5.8121,"2009-10-29T00:00:00","2599-12-31T23:59:59",184445.7748,400073.7043,"E",2009,2599,"2009-10-29","2599-12-31"
"154","NL","OTL1","HHE",52.6289,4.8227,"1995-04-21T00:00:00","2010-10-11T00:00:00",116779.5719,515858.6099,"E",1995,2010,"1995-04-21","2010-10-11"
"155","NL","OTL1","HHE",52.6289,4.8227,"2010-10-11T00:00:00","2019-07-02T10:15:00",116779.5719,515858.6099,"E",2010,2019,"2010-10-11","2019-07-02"
